index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31871192","1.HNF1α K117乙酰化与功能调控研究","2022","面上项目","C1107","C1107","面上项目","于淼","59.0","2018","2022","中国人民解放军军事科学院军事医学研究院","乙酰化； 糖代谢； 糖尿病； 基因敲入小鼠； HNF1"
"2","31871194","2.应用脂质组学/代谢组学研究果蝇dAcsl影响个体发育缺陷的机制","2022","面上项目","C1107","C1107","面上项目","税光厚","60.0","2018","2022","中国科学院遗传与发育生物学研究所","脂质代谢； 脂肪合成； 磷脂代谢； 脂肪酸转运； 脂毒性"
"3","31871199","3.高盐介导的SIRT3抑制促发肝脏持续性炎症的机制","2022","面上项目","C1107","C1107","面上项目","高鹏","60.0","2018","2022","中国人民解放军第三军医大学","二甲双胍； 氧化应激； 肝脏炎症； 组蛋白表观遗传修饰； 线粒体去乙酰化酶SIRT3"
"4","31871198","4.肝脏PPARA对白色脂肪米色化的调控机制","2022","面上项目","C1107","C1107","面上项目","李国林","60.0","2018","2022","湖南师范大学","肥胖； 脂肪分化； 白色脂肪米色化； 白色脂肪棕化"
"5","31871197","5.孕烷X受体（PXR）对FGF15/19的调控机制及其在抵抗高脂饮食引起肥胖中的作用","2022","面上项目","C1107","C1107","面上项目","张淑芸","60.0","2018","2022","温州医科大学","肥胖； 脂质代谢； 孕烷X受体； 成纤维细胞生长因子15/19； 核受体"
"6","31871200","6.TANGO调控血红素稳态的分子机理研究","2022","面上项目","C1107","C1107","面上项目","陈才勇","60.0","2018","2022","浙江大学","铁代谢； 分子伴侣； 微量元素； 血红素； 转运"
"7","31871201","7.肿瘤相关巨噬细胞为周围肿瘤细胞提供铁源及其调控机制的研究","2022","面上项目","C1107","C1107","面上项目","李宽钰","60.0","2018","2022","南京大学","铁代谢； 肿瘤； 巨噬细胞吞噬； 乏氧； 排出"
"8","31872798","8.六磷酸肌醇-CRL-CSN复合物调控胰岛素分泌和糖尿病发生的功能与机制研究","2022","面上项目","C1107","C1107","面上项目","饶枫","60.0","2018","2022","南方科技大学","胰岛素； 胰岛素分泌； 葡糖糖吸收； 糖尿病； 高血糖"
"9","31871202","9.星形胶质细胞调控铁蛋白分泌参与帕金森病的作用机制研究","2022","面上项目","C1107","C1107","面上项目","徐华敏","60.0","2018","2022","青岛大学","氧化损伤； 铁稳态； 铁蛋白； 微量元素过载相关疾病； 帕金森病"
"10","31871193","10.CD36的棕榈酰化修饰对其脂肪酸吸收活性的影响及分子机制","2022","面上项目","C1107","C1107","面上项目","赵同金","60.0","2018","2022","复旦大学","脂吸收； 脂质代谢； 脂肪细胞； 脂肪酸吸收； 棕榈酰化修饰"
