index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31871082","1.SR蛋白在大脑脂代谢以及阿尔茨海默病病理过程中的作用机制研究","2022","面上项目","C0903","C0903","面上项目","刘强","59.0","2018","2022","中国科学技术大学","SR蛋白； 载脂蛋白E； 阿尔茨海默病； 大脑脂代谢"
"2","31871083","2.前额叶皮质中表观遗传因子CDYL在慢性应激所致啮齿类动物抑郁样行为中的作用及其机制研究","2022","面上项目","C0903","C0903","面上项目","黄卓","60.0","2018","2022","北京大学","表观遗传； 抑郁症； 慢性应激； 突触可塑性"
"3","31872778","3.小鼠腹侧海马miR-135在神经环路构建和情感记忆中的作用研究","2022","面上项目","C0903","C0903","面上项目","胡中华","60.0","2018","2022","中南大学","动物模型； 神经环路； 突触传递； 精神性疾病； 前额叶皮层"
"4","31872777","4.类泛素蛋白NEDD8活化酶抑制剂MLN4924对缺血性脑卒中的保护作用机制研究","2022","面上项目","C0903","C0903","面上项目","范文英","60.0","2018","2022","复旦大学","脑卒中； 炎症； 血脑屏障损伤； 脑缺血； NEDD8活化酶抑制剂"
"5","31871084","5.神经元轴突起始段可塑性受网络活动调节的机制及其在脑缺血损伤中的作用","2022","面上项目","C0903","C0903","面上项目","柴真","59.0","2018","2022","北京大学","神经元； 损伤与保护； 轴突起始段可塑性； 脑缺血； 网络活动"
"6","31871085","6.梨状皮层调控癫痫发作的脑环路机制的多模态研究","2022","面上项目","C0903","C0903","面上项目","吴瑞琪","60.0","2018","2022","中国科学院精密测量科学与技术创新研究院","动物模型； 磁共振脑功能成像； 光遗传学； 神经网络； 病毒神经环路示踪"
"7","31871081","7.解析下丘脑体温调节神经环路对自主神经系统的调控机制","2022","面上项目","C0903","C0903","面上项目","王虹","59.0","2018","2022","中国科学院深圳先进技术研究院","自主神经； 脊髓； 神经环路； 心血管系统； 下丘脑"
"8","31730036","1.帕金森病中的线粒体质控机制","2022","重点项目","C0903","C0903","重点项目","张灼华","321.0","2017","2022","中南大学","质量控制； 线粒体； Drp1； PINK1； 帕金森病"
"9","31730037","2.阿尔茨海默病的遗传易感基础与分子机制","2022","重点项目","C0903","C0903","重点项目","姚永刚","322.0","2017","2022","中国科学院昆明动物研究所","基因表达谱； 风险变异； 分子机制； 全外显子测序； 阿尔茨海默病"
"10","31730035","3.Tau蛋白异常聚积引起神经细胞退变的分子机制研究","2022","重点项目","C0903","C0903","重点项目","王建枝","315.0","2017","2022","华中科技大学","信号转导及转录激活因子-1； 炎症； 神经退变； 阿尔茨海默病； NMDA受体"
"11","31900738","1.催产素维持多巴胺细胞存活性的机制以及在帕金森病中的作用","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","肖雷","24.0","2019","2022","复旦大学","催产素； 神经保护； 细胞凋亡； 帕金森病； 多巴胺"
"12","31900739","2.小胶质细胞敲除FPN1影响帕金森氏症病程的机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","尤琳浩","24.0","2019","2022","河北师范大学","膜铁转运蛋白1； 多巴胺能神经元； 小胶质细胞； 铁代谢紊乱； 帕金森病"
"13","31900740","3.Emx2在大鼠脊髓损伤后内源神经干细胞激活和向神经元分化中的作用研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","刘素梅","24.0","2019","2022","首都医科大学","神经干细胞； 脊髓损伤； 神经修复"
"14","31900741","4.LGI1点突变在颞叶癫痫中的作用及机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","周琳","24.0","2019","2022","浙江大学","富含亮氨酸的胶质瘤失活基因1； 点突变； 离子通道； 兴奋性神经元； 癫痫"
"15","31900744","5.线粒体铁蛋白保护脑缺血再灌注损伤的铁死亡机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","常世阳","25.0","2019","2022","河北医科大学","铁代谢； 氧化应激； 缺血再灌注损伤； 线粒体铁蛋白； 铁死亡"
"16","31900742","6.麦芽醇对脑实质出血所致继发性神经元铁坏死的治疗作用及机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","华聪","24.0","2019","2022","吉林大学","神经保护； 铁坏死； 脑出血； 麦芽醇"
"17","31900743","7.GPR30在小鼠外周神经髓鞘形成及再生中的作用及信号机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","殷维瑶","23.0","2019","2022","四川大学","雌激素受体； 施万细胞； 髓鞘形成； 髓鞘再生； 周围神经损伤"
"18","31900745","8.CDR1as与Cyrano在帕金森病模型中调控α-突触核蛋白积聚的作用及机制研究","2022","青年科学基金项目","C0903","C0903","青年科学基金项目","王友翠","25.0","2019","2022","青岛大学","微小RNA-7； 长链非编码RNA Cyrano； CDR1as； α-突触核蛋白； 帕金森病"
"19","31860275","1.P2Y1介导μ阿片受体调控结肠感觉传导环路的作用与机制研究","2022","地区科学基金项目","C0903","C0903","地区科学基金项目","李军平","40.0","2018","2022","宁夏医科大学","消化系统； 自主神经"
"20","31860276","2.CRMP4/Sema3A介导的突触分枝形成和可塑性调控在抑郁症中的作用机制研究","2022","地区科学基金项目","C0903","C0903","地区科学基金项目","陈瑾","40.0","2018","2022","南昌大学","抑郁症； 突触传递； 坍塌反应调节蛋白4"
"21","31860274","3.铁抑制自噬在帕金森病中的作用机制研究","2022","地区科学基金项目","C0903","C0903","地区科学基金项目","燕晋媛","40.0","2018","2022","昆明医科大学","铁； 多巴胺能神经元； 自噬； 帕金森病"
