index,approveText,title,searchYear,searchFund,searchCode,codeText,fundTypeText,personText,money,approveYear,endYear,organization,keywords
"1","31870483","1.球囊霉素在红树林湿地生态系统中的碳汇功能和示踪效应","2022","面上项目","C0310","C0310","面上项目","严重玲","60.0","2018","2022","厦门大学","分布； 红树林湿地生态系统； 碳汇与碳源； 迁移； 球囊霉素相关土壤蛋白"
"2","31870488","2.龙葵对镉超富集的差异蛋白表达特征及调控机理","2022","面上项目","C0310","C0310","面上项目","魏树和","60.0","2018","2022","中国科学院沈阳应用生态研究所","生物转化； 重金属； 生物富集； 生物可利用性； 生物有效性"
"3","31870484","3.氧化石墨烯对菌根共生体系及菌根网络生态传输功能的影响与作用机制","2022","面上项目","C0310","C0310","面上项目","多立安","60.0","2018","2022","天津师范大学","生态传输功能； 新型污染物； 氧化石墨烯； 地下根生态； 环境输入"
"4","31870516","4.基于功能重建的生态修复-内蒙古寒旱区本土和外埠物种集成的人工群落功能多样性格局及服务功能研究","2022","面上项目","C0310","C0310","面上项目","崔洪霞","59.0","2018","2022","中国科学院植物研究所","植物修复； 生态恢复； 功能多样性； 人工群落； 群落组装"
"5","31870490","5.白菜叶片对大气颗粒物中铅的吸收和富集机制","2022","面上项目","C0310","C0310","面上项目","刘文菊","60.0","2018","2022","河北农业大学","生物转化； 重金属； 生物富集； 迁移； 吸收"
"6","31872694","6.木犀草素化感调控微囊藻生长生理及其种属内竞争机制研究","2022","面上项目","C0310","C0310","面上项目","李洁明","60.0","2018","2022","中国农业大学","竞争互作； 木犀草素； 微囊藻； 适应度差别； 种群数量"
"7","31870486","7.蚕豆对金纳米簇的吸收、转运及植物毒性反应研究","2022","面上项目","C0310","C0310","面上项目","宋凯","59.0","2018","2022","长春师范大学","蚕豆； 光声成像； 植物毒性； 迁移； 吸收"
"8","31870517","8.融雪期施肥促进退化草地恢复的生态学机制研究","2022","面上项目","C0310","C0310","面上项目","潘庆民","60.0","2018","2022","中国科学院植物研究所","优势种； 养分管理； 融雪期； 群落结构； 植被恢复"
"9","31870487","9.环境压力对城市河流细菌抗生素耐药性的选择及散播机制的研究","2022","面上项目","C0310","C0310","面上项目","王在照","60.0","2018","2022","西北农林科技大学","抗生素耐药性； 污染物； 水平基因转移； 扩散"
"10","31870492","10.微囊藻毒素长期低剂量暴露引起小鼠学习记忆能力减退的分子机制探讨","2022","面上项目","C0310","C0310","面上项目","韩晓冬","60.0","2018","2022","南京大学","微囊藻毒素； 海马； 血-脑屏障； 学习记忆能力减退； 紧密连接"
"11","31870489","11.胞外聚合物EPS对污水处理系统中活性污泥响应纳米银胁迫的作用机制","2022","面上项目","C0310","C0310","面上项目","杨新萍","60.0","2018","2022","南京农业大学","点源污染； 污水； 纳米银； 新型污染物； 有害污染物"
"12","31872696","12.根瘤菌共生固氮介导的豆科植物抗氧化防御系统对重金属协同抗逆机制研究","2022","面上项目","C0310","C0310","面上项目","余秀梅","60.0","2018","2022","四川农业大学","共生固氮； 联合修复； 抗逆； 协同作用； 抗氧化防御系统"
"13","31870491","13.斑马鱼胚胎暴露多环芳烃导致生命后期毒性效应及其表观遗传学机制","2022","面上项目","C0310","C0310","面上项目","王重刚","60.0","2018","2022","厦门大学","后期效应； 生态毒理学； 早期暴露； 遗传毒性； 毒性机制"
"14","31870485","14.超微细菌降解不同六溴环十二烷对映异构体的途径及机理","2022","面上项目","C0310","C0310","面上项目","王莹莹","60.0","2018","2022","南开大学","生物转化； 持久性有机污染物； 对映异构体； 降解机理； 超微细菌"
"15","31870493","15.邻苯二甲酸酯对荧光假单胞菌的毒理效应与损伤机制","2022","面上项目","C0310","C0310","面上项目","王志刚","60.0","2018","2022","齐齐哈尔大学","损伤机制； 有机污染物； 生态毒理学； 荧光假单胞菌； 邻苯二甲酸酯"
