mainCode,subCode,name
C01,C0101,"微生物多样性、分类与系统发育"
C01,C0102,"微生物生理与生化"
C01,C0103,"微生物组学与代谢"
C01,C0104,"微生物遗传与生物合成"
C01,C0105,"微生物学新技术与新方法"
C01,C0106,"微生物与环境互作"
C01,C0107,"病毒学"
C01,C0108,"病原细菌学"
C01,C0109,"病原真菌学与其他微生物"
C02,C0201,"植物分类学"
C02,C0202,"植物系统发生与进化"
C02,C0203,"植物光合与固氮"
C02,C0204,"水分和营养物质的运输与代谢"
C02,C0205,"植物与环境互作"
C02,C0206,"植物激素与生长调节物质"
C02,C0207,"植物生殖与发育"
C02,C0208,"植物资源保护与利用"
C02,C0209,"植物化学"
C02,C0210,"植物学研究的新技术、新方法"
C03,C0301,"生态学理论与方法"
C03,C0302,"行为生态学"
C03,C0303,"生理生态学"
C03,C0304,"种群生态学"
C03,C0305,"群落生态学"
C03,C0306,"生态系统生态学"
C03,C0307,"景观与区域生态学"
C03,C0308,"全球变化生态学"
C03,C0309,"环境与生物演化"
C03,C0310,"污染生态学与恢复生态学"
C03,C0311,"土壤生态学"
C03,C0312,"保护生物学"
C03,C0313,"可持续生态学"
C04,C0401,"动物进化与发育"
C04,C0402,"动物系统与分类"
C04,C0403,"动物生理与行为"
C04,C0404,"动物繁育与种群动态"
C04,C0405,"动物资源与保护"
C04,C0406,"海洋动物学"
C04,C0407,"野生动物疫病与传播"
C04,C0408,"实验动物学"
C05,C0501,"结构生物学"
C05,C0502,"分子生物物理"
C05,C0503,"细胞感应与环境生物物理"
C05,C0504,"物理生物学"
C05,C0505,"蛋白质、多肽与酶生物化学"
C05,C0506,"糖、脂生物化学"
C05,C0507,"核酸生物化学"
C05,C0508,"无机生物化学与环境测控"
C05,C0509,"生物学过程与代谢"
C06,C0601,"遗传物质结构与功能"
C06,C0602,"基因表达及非编码序列调控"
C06,C0603,"表观遗传调控"
C06,C0604,"表型、行为与疾病的遗传学基础"
C06,C0605,"遗传与进化"
C06,C0606,"群体遗传与数量遗传"
C06,C0607,"基因组学"
C06,C0608,"生物数据资源与分析方法"
C06,C0609,"生物大数据解析"
C07,C0701,"细胞器及亚细胞结构、互作与功能"
C07,C0702,"细胞信号转导"
C07,C0703,"细胞增殖及细胞周期"
C07,C0704,"细胞命运及重编程"
C07,C0705,"细胞衰老、死亡及自噬"
C07,C0706,"细胞极性与细胞运动"
C07,C0707,"细胞变异与功能异常"
C07,C0708,"细胞代谢、应激及稳态调控"
C07,C0709,"细胞外微环境与细胞间通讯"
C08,C0801,"固有免疫"
C08,C0802,"适应性免疫"
C08,C0803,"黏膜免疫与区域免疫"
C08,C0804,"自身免疫与免疫耐受"
C08,C0805,"肿瘤免疫微环境"
C08,C0806,"感染与非感染性炎症"
C08,C0807,"生殖免疫与移植免疫"
C08,C0808,"疫苗、抗体与免疫干预"
C09,C0901,"分子与细胞神经生物学"
C09,C0902,"发育与衰老神经生物学"
C09,C0903,"神经系统结构与功能及异常"
C09,C0904,"感觉与运动系统神经生物学"
C09,C0905,"行为与情感神经科学"
C09,C0906,"认知神经生物学"
C09,C0907,"认知心理学"
C09,C0908,"发展与教育心理学"
C09,C0909,"行为、决策与社会心理学"
C09,C0910,"应用心理学及其他"
C09,C0911,"生理与医学心理学"
C09,C0912,"心理疾患与认知障碍及干预"
C09,C0913,"神经科学与心理学研究的新技术和新范式"
C09,C0914,"认知模拟、计算与人工智能"
C10,C1001,"生物力学与生物流变学"
C10,C1002,"生物材料与生物效应"
